,Created At,positivi,negativi,neutrali
44669,2021-03-08 10:14:58,0,0,1
44670,2021-03-08 10:14:58,0,0,1
44671,2021-03-08 10:14:56,0,0,1
44672,2021-03-08 10:14:55,0,0,1
44673,2021-03-08 10:14:53,0,0,1
44674,2021-03-08 10:14:53,1,0,0
44675,2021-03-08 10:14:52,0,0,1
44676,2021-03-08 10:14:52,0,0,1
44677,2021-03-08 10:14:48,0,0,1
44678,2021-03-08 10:14:48,0,0,1
44679,2021-03-08 10:14:48,0,0,1
44680,2021-03-08 10:14:44,0,0,1
44681,2021-03-08 10:14:44,0,0,1
44682,2021-03-08 10:14:43,0,1,0
44683,2021-03-08 10:14:43,1,0,0
44684,2021-03-08 10:14:42,0,0,1
44685,2021-03-08 10:14:42,0,0,1
44686,2021-03-08 10:14:40,0,1,0
44687,2021-03-08 10:14:40,1,0,0
44688,2021-03-08 10:14:39,1,0,0
44689,2021-03-08 10:14:38,1,0,0
44690,2021-03-08 10:14:37,0,0,1
44691,2021-03-08 10:14:35,0,0,1
44692,2021-03-08 10:14:33,0,0,1
44693,2021-03-08 10:14:31,0,0,1
44694,2021-03-08 10:14:31,0,0,1
44695,2021-03-08 10:14:28,0,0,1
44696,2021-03-08 10:14:27,1,0,0
44697,2021-03-08 10:14:26,0,0,1
44698,2021-03-08 10:14:26,0,1,0
44699,2021-03-08 10:14:23,1,0,0
44700,2021-03-08 10:14:23,0,0,1
44701,2021-03-08 10:14:23,0,0,1
44702,2021-03-08 10:14:23,1,0,0
44703,2021-03-08 10:14:22,0,0,1
44704,2021-03-08 10:14:21,0,0,1
44705,2021-03-08 10:14:21,0,0,1
44706,2021-03-08 10:14:21,0,0,1
44707,2021-03-08 10:14:20,0,0,1
44708,2021-03-08 10:14:20,0,0,1
44709,2021-03-08 10:14:20,0,1,0
44710,2021-03-08 10:14:20,1,0,0
44711,2021-03-08 10:14:20,0,0,1
44712,2021-03-08 10:14:19,0,0,1
44713,2021-03-08 10:14:19,0,1,0
44714,2021-03-08 10:14:18,1,0,0
44715,2021-03-08 10:14:18,0,0,1
44716,2021-03-08 10:14:18,0,0,1
44717,2021-03-08 10:14:17,0,1,0
44718,2021-03-08 10:14:16,0,0,1
44719,2021-03-08 10:14:16,0,1,0
44720,2021-03-08 10:14:16,0,0,1
44721,2021-03-08 10:14:15,0,1,0
44722,2021-03-08 10:14:14,0,1,0
44723,2021-03-08 10:14:11,0,0,1
44724,2021-03-08 10:14:11,0,0,1
44725,2021-03-08 10:14:09,0,0,1
44726,2021-03-08 10:14:08,1,0,0
44727,2021-03-08 10:14:07,0,0,1
44728,2021-03-08 10:14:07,1,0,0
44729,2021-03-08 10:14:07,0,1,0
44730,2021-03-08 10:14:06,0,1,0
44731,2021-03-08 10:14:05,0,0,1
44732,2021-03-08 10:14:05,0,0,1
44733,2021-03-08 10:14:05,0,0,1
44734,2021-03-08 10:14:05,0,0,1
44735,2021-03-08 10:14:04,0,0,1
44736,2021-03-08 10:14:02,0,0,1
44737,2021-03-08 10:14:00,0,0,1
44738,2021-03-08 10:13:59,0,0,1
44739,2021-03-08 10:13:58,0,0,1
44740,2021-03-08 10:13:57,0,0,1
44741,2021-03-08 10:13:56,0,0,1
44742,2021-03-08 10:13:56,0,1,0
44743,2021-03-08 10:13:56,0,0,1
44744,2021-03-08 10:13:56,0,0,1
44745,2021-03-08 10:13:54,0,0,1
44746,2021-03-08 10:13:54,0,0,1
44747,2021-03-08 10:13:53,0,0,1
44748,2021-03-08 10:13:53,0,0,1
44749,2021-03-08 10:13:53,0,0,1
44750,2021-03-08 10:13:52,0,0,1
44751,2021-03-08 10:13:51,0,0,1
44752,2021-03-08 10:13:51,0,0,1
44753,2021-03-08 10:13:50,0,0,1
44754,2021-03-08 10:13:50,0,1,0
44755,2021-03-08 10:13:48,0,0,1
44756,2021-03-08 10:13:47,1,0,0
44757,2021-03-08 10:13:46,0,1,0
44758,2021-03-08 10:13:46,0,0,1
44759,2021-03-08 10:13:46,0,1,0
44760,2021-03-08 10:13:45,0,1,0
44761,2021-03-08 10:13:44,0,0,1
44762,2021-03-08 10:13:44,1,0,0
44763,2021-03-08 10:13:44,1,0,0
44764,2021-03-08 10:13:43,0,0,1
